Frame,A,B,C,D,E,F,G,H,I,J,K,L
0,126.828,130.208,121.296,125.157,89.6609,90.339,92.8604,93.772,124.566,123.888,113.195,114.833,
1,129.749,132.114,121.18,124.763,89.6352,90.3648,93.4908,93.3666,126.269,125.484,112.924,114.957,
2,130.189,131.76,119.937,124.053,89.5586,90.4414,93.0235,93.2305,127.153,126.042,113.075,115.273,
3,132.103,132.598,119.363,123.878,89.5702,90.4298,92.8524,93.0743,127.954,126.571,113.077,115.151,
4,133.372,133.478,119.067,123.282,89.6144,90.3856,92.6744,93.0295,128.311,126.342,113.033,114.882,
5,133.229,133.443,119.37,123.312,89.6179,90.3821,92.7277,93.0626,128.709,126.556,113.079,114.89,
6,133.065,133.412,119.333,123.25,89.624,90.3759,92.8474,93.114,128.876,126.65,113.23,115.088,
7,132.26,132.884,118.827,122.853,89.5905,90.4094,92.863,93.121,127.934,125.878,112.924,115.035,
8,132.445,132.925,118.79,122.941,89.5914,90.4086,92.7648,93.1995,128.018,125.977,112.931,115,
9,132.616,133.051,118.619,122.985,89.6044,90.3956,92.5661,93.1685,127.76,125.806,112.715,114.747,
10,132.954,133.412,118.902,123.735,89.5843,90.4157,92.4321,93.0938,128.058,125.761,112.487,114.435,
11,133.231,133.802,118.738,123.12,89.5729,90.4271,92.2954,92.9761,128.574,125.999,112.67,114.484,
12,133.693,133.799,118.674,123.104,89.5607,90.4393,92.3293,92.9575,128.569,125.917,112.713,114.544,
13,133.647,133.907,118.272,123.527,89.5718,90.4282,92.2396,92.9762,128.71,125.989,112.48,114.35,
14,133.912,134.221,118.172,123.472,89.579,90.4209,92.1548,93.0058,128.824,125.937,112.535,114.307,
15,134.119,134.376,118.453,123.454,89.5727,90.4273,92.1746,93.0434,129.101,126.231,112.511,114.262,
16,134.129,134.778,117.937,122.712,89.5841,90.4159,92.284,92.9406,128.995,126.12,112.557,114.339,
17,134.129,134.783,117.918,122.752,89.5881,90.4119,92.2527,92.9775,129.049,126.181,112.538,114.315,
18,133.955,134.74,118.324,122.913,89.5866,90.4135,92.2987,92.9857,129.042,126.05,112.506,114.271,
19,133.951,134.839,118.371,123.514,89.584,90.416,92.1977,93.05,129.19,125.987,112.483,114.196,
20,134.001,134.797,118.312,122.749,89.5745,90.4255,92.2384,93.0491,128.743,125.589,112.516,114.259,
21,133.968,134.771,118.378,122.697,89.5774,90.4226,92.2618,93.1021,128.74,125.556,112.531,114.242,
22,133.722,134.723,118.715,122.758,89.5896,90.4104,92.3615,93.1264,129.237,126.113,112.604,114.349,
23,133.822,134.632,118.792,122.855,89.5829,90.417,92.2483,93.2596,129.484,126.248,112.638,114.292,
24,133.758,134.586,118.739,122.784,89.5901,90.4099,92.2348,93.2547,129.035,125.872,112.587,114.212,
25,133.757,134.585,118.741,122.785,89.5897,90.4102,92.2323,93.2574,129.038,125.878,112.588,114.213,
26,133.95,134.779,118.882,122.911,89.58,90.42,92.1993,93.2333,129.321,126.158,112.481,114.185,
27,133.76,134.659,119.126,123.179,89.5668,90.4332,92.2193,93.2056,129.203,126.03,112.448,114.165,
28,133.47,134.399,118.74,122.589,89.5587,90.4413,92.2558,93.2589,128.765,125.733,112.493,114.272,
29,133.333,134.755,119.274,125.344,89.5437,90.4563,92.1143,93.3992,128.916,126.25,112.22,114.107,
